year,state name,region_1,age,sex_1,race_1,martial status,union type,educ99,occ,ind,wkswork1,uhrswork,incwage
1981,Virginia,South,38,male,Other nonhisp,"Married, spouse present",,,245,798,52,40,17000.0
1981,Vermont,Northeast,58,male,White nonhisp,"Married, spouse present",,,470,339,52,48,19000.0
1981,Utah,West,35,male,White nonhisp,"Married, spouse present",,,715,417,52,43,21000.0
1981,Illinois,Midwest,33,male,White nonhisp,Divorced,,,485,857,52,60,19740.0
1981,District of Columbia,South,45,male,Black nonhisp,Never mar,,,13,917,52,40,46000.0
1981,Kansas,Midwest,45,male,White nonhisp,"Married, spouse present",,,694,118,52,40,9000.0
1981,Alabama,South,32,male,White nonhisp,"Married, spouse present",,,751,68,52,40,9500.0
1981,Michigan,Midwest,30,male,Other nonhisp,"Married, spouse present",,,126,858,14,40,2503.0
1981,Texas,South,25,male,Hispanic,"Married, spouse present",,,706,319,52,40,7789.0
1981,California,West,31,male,White nonhisp,Never mar,,,325,748,52,40,15000.0
1981,Hawaii,West,51,male,White nonhisp,"Married, spouse present",,,245,897,52,40,50000.0
1981,Oregon,West,39,male,White nonhisp,Divorced,,,284,649,52,40,11000.0
1981,Vermont,Northeast,37,male,White nonhisp,Never mar,,,115,858,52,35,16500.0
1981,Illinois,Midwest,39,male,White nonhisp,"Married, spouse present",,,441,168,52,60,25000.0
1981,Indiana,Midwest,48,male,White nonhisp,"Married, spouse present",,,441,529,52,40,20000.0
1981,Tennessee,South,27,male,White nonhisp,"Married, spouse present",,,690,387,52,45,15540.0
1981,Minnesota,Midwest,29,male,White nonhisp,Never mar,,,153,807,52,40,20000.0
1981,New Mexico,West,25,male,Other nonhisp,"Married, spouse absent",,,473,639,52,40,8199.0
1981,Florida,South,57,male,White nonhisp,"Married, spouse present",,,694,299,52,40,20000.0
1981,Pennsylvania,Northeast,49,male,White nonhisp,"Married, spouse present",,,640,48,52,35,19000.0
1981,Texas,South,32,male,White nonhisp,"Married, spouse present",,,284,607,52,40,22000.0
1981,District of Columbia,South,55,male,Black nonhisp,Widowed,,,441,127,52,40,9000.0
1981,Hawaii,West,56,male,Other nonhisp,"Married, spouse present",,,233,529,52,40,23500.0
1981,California,West,33,male,White nonhisp,"Married, spouse present",,,142,857,52,40,23500.0
1981,Maine,Northeast,41,male,White nonhisp,Never mar,,,245,219,52,45,35000.0
1981,New Jersey,Northeast,60,male,White nonhisp,"Married, spouse present",,,461,759,52,60,26000.0
1981,California,West,45,male,Hispanic,"Married, spouse present",,,602,219,52,40,8000.0
1981,California,West,38,male,White nonhisp,"Married, spouse present",,,245,527,52,60,25700.0
1981,New York,Northeast,42,male,Black nonhisp,"Married, spouse present",,,212,848,52,60,30000.0
1981,Wyoming,West,57,male,White nonhisp,"Married, spouse present",,,441,469,52,40,28800.0
1981,Pennsylvania,Northeast,37,male,White nonhisp,"Married, spouse present",,,343,377,52,70,28000.0
1981,Utah,West,29,male,White nonhisp,"Married, spouse present",,,602,189,42,40,14443.0
1981,Minnesota,Midwest,34,male,White nonhisp,"Married, spouse present",,,13,717,52,40,31831.0
1981,Nebraska,Midwest,33,male,Black nonhisp,Separated,,,245,879,52,40,10000.0
1981,California,West,37,male,White nonhisp,Never mar,,,363,937,52,40,18000.0
1981,Connecticut,Northeast,29,male,White nonhisp,"Married, spouse present",,,285,708,52,40,34500.0
1981,California,West,51,male,Hispanic,"Married, spouse present",,,301,707,52,40,12000.0
1981,South Dakota,Midwest,30,male,White nonhisp,"Married, spouse present",,,631,628,52,40,22000.0
1981,Wisconsin,Midwest,59,male,White nonhisp,"Married, spouse present",,,694,168,52,45,27902.0
1981,South Dakota,Midwest,37,male,White nonhisp,"Married, spouse present",,,144,857,52,40,17000.0
1981,Maryland,South,37,male,White nonhisp,"Married, spouse present",,,260,727,50,44,50000.0
1981,Texas,South,51,male,White nonhisp,"Married, spouse present",,,212,838,52,40,19000.0
1981,Nevada,West,29,male,White nonhisp,Divorced,,,910,777,52,40,16076.0
1981,Oregon,West,41,male,White nonhisp,"Married, spouse present",,,223,887,52,40,37510.0
1981,Arkansas,South,36,male,White nonhisp,Separated,,,770,567,52,45,12000.0
1981,Florida,South,44,male,Hispanic,"Married, spouse present",,,245,759,52,40,35000.0
1981,Virginia,South,56,male,White nonhisp,"Married, spouse present",,,552,917,52,40,33934.0
1981,Wisconsin,Midwest,43,male,White nonhisp,"Married, spouse present",,,510,838,52,40,17000.0
1981,Utah,West,29,male,White nonhisp,Never mar,,,142,857,52,45,12372.0
1981,Maine,Northeast,35,male,White nonhisp,"Married, spouse present",,,575,109,52,40,9000.0
1981,California,West,30,male,White nonhisp,"Married, spouse present",,,76,838,52,35,10000.0
1981,Massachusetts,Northeast,26,male,White nonhisp,Never mar,,,441,347,52,55,30000.0
1981,Colorado,West,25,male,White nonhisp,Never mar,,,284,639,52,40,14800.0
1981,Massachusetts,Northeast,33,male,White nonhisp,"Married, spouse present",,,245,539,52,55,33000.0
1981,Nevada,West,29,male,Hispanic,Never mar,,,436,68,50,40,25750.0
1981,Utah,West,33,male,White nonhisp,"Married, spouse present",,,245,607,52,45,14000.0
1981,North Carolina,South,45,male,Black nonhisp,"Married, spouse present",,,925,838,52,40,10000.0
1981,California,West,31,male,White nonhisp,Never mar,,,461,197,52,40,14000.0
1981,New Mexico,West,30,male,Hispanic,"Married, spouse present",,,153,897,52,40,12000.0
1981,Nevada,West,34,male,Hispanic,Divorced,,,472,757,52,40,17000.0
1981,Michigan,Midwest,26,male,White nonhisp,Never mar,,,785,187,52,50,27000.0
1981,Hawaii,West,56,male,Hispanic,"Married, spouse present",,,912,887,52,40,16400.0
1981,New Mexico,West,48,male,White nonhisp,"Married, spouse present",,,822,17,52,50,25000.0
1981,New York,Northeast,38,male,White nonhisp,"Married, spouse present",,,245,429,52,50,40000.0
1981,New York,Northeast,49,male,White nonhisp,"Married, spouse present",,,245,248,52,40,25000.0
1981,Idaho,West,45,male,White nonhisp,"Married, spouse present",,,104,858,52,56,26100.0
1981,Texas,South,32,male,White nonhisp,"Married, spouse present",,,430,69,49,40,11500.0
1981,Ohio,Midwest,30,male,White nonhisp,"Married, spouse present",,,23,148,52,45,23000.0
1981,New Jersey,Northeast,46,male,White nonhisp,Divorced,,,481,279,52,49,23000.0
1981,Ohio,Midwest,43,male,White nonhisp,"Married, spouse present",,,245,127,49,40,33000.0
1981,Oklahoma,South,26,male,Hispanic,"Married, spouse present",,,623,647,52,50,9000.0
1981,New Mexico,West,25,male,White nonhisp,"Married, spouse present",,,473,507,52,35,22600.0
1981,Alabama,South,27,male,White nonhisp,"Married, spouse present",,,473,757,52,40,16000.0
1981,Iowa,Midwest,32,male,White nonhisp,"Married, spouse present",,,212,838,52,40,15600.0
1981,California,West,47,male,Black nonhisp,Never mar,,,80,838,52,40,24000.0
1981,Illinois,Midwest,44,male,Black nonhisp,"Married, spouse present",,,753,417,52,40,13230.0
1981,West Virginia,South,27,male,White nonhisp,"Married, spouse present",,,694,119,44,40,10000.0
1981,Arkansas,South,47,male,White nonhisp,"Married, spouse present",,,245,647,52,50,20000.0
1981,Maryland,South,57,male,White nonhisp,Never mar,,,753,587,52,40,6000.0
1981,Michigan,Midwest,38,male,White nonhisp,"Married, spouse present",,,245,197,52,60,50000.0
1981,California,West,27,male,Hispanic,"Married, spouse present",,,964,937,52,40,16800.0
1981,Florida,South,58,male,White nonhisp,"Married, spouse present",,,473,269,52,40,16000.0
1981,North Carolina,South,44,male,White nonhisp,"Married, spouse present",,,705,269,52,48,17000.0
1981,Texas,South,28,male,White nonhisp,"Married, spouse present",,,964,937,52,70,22000.0
1981,Louisiana,South,25,male,White nonhisp,"Married, spouse present",,,680,49,52,50,31500.0
1981,California,West,63,male,White nonhisp,"Married, spouse present",,,282,568,52,40,40000.0
1981,New York,Northeast,59,male,White nonhisp,"Married, spouse present",,,2,888,52,40,45460.0
1981,Kansas,Midwest,56,male,White nonhisp,"Married, spouse present",,,473,528,52,54,15000.0
1981,Connecticut,Northeast,57,male,White nonhisp,"Married, spouse present",,,751,77,26,40,11000.0
1981,Texas,South,26,male,Black nonhisp,"Married, spouse present",,,753,227,52,77,20000.0
1981,Virginia,South,35,male,White nonhisp,"Married, spouse present",,,195,887,52,40,28000.0
1981,North Carolina,South,31,male,White nonhisp,Divorced,,,713,417,52,35,11100.0
1981,New York,Northeast,26,male,White nonhisp,"Married, spouse present",,,715,287,52,50,24000.0
1981,North Carolina,South,28,male,Hispanic,"Married, spouse present",,,492,527,52,48,6800.0
1981,Texas,South,25,male,White nonhisp,"Married, spouse present",,,713,407,52,60,21000.0
1981,Missouri,Midwest,31,male,White nonhisp,Never mar,,,245,628,52,40,21000.0
1981,California,West,50,male,Hispanic,"Married, spouse present",,,690,197,5,16,7836.0
1981,New Hampshire,Northeast,35,male,White nonhisp,"Married, spouse present",,,473,287,52,40,18300.0
1981,Virginia,South,44,male,White nonhisp,"Married, spouse present",,,31,917,52,40,43000.0
1981,Michigan,Midwest,27,male,White nonhisp,"Married, spouse present",,,514,259,45,40,30000.0
1981,California,West,31,male,White nonhisp,"Married, spouse present",,,550,69,52,32,23000.0
1981,Pennsylvania,Northeast,33,male,White nonhisp,"Married, spouse present",,,312,917,52,40,29000.0
1981,Texas,South,39,male,White nonhisp,"Married, spouse present",,,245,67,52,50,30000.0
1981,Missouri,Midwest,57,male,White nonhisp,"Married, spouse present",,,194,227,52,40,16000.0
1981,Washington,West,64,male,White nonhisp,Separated,,,644,639,52,40,16000.0
1981,Alaska,West,55,male,White nonhisp,"Married, spouse present",,,245,647,52,60,22000.0
1981,New York,Northeast,33,male,Hispanic,"Married, spouse present",,,612,319,52,37,9880.0
1981,California,West,50,male,White nonhisp,"Married, spouse present",,,11,927,52,40,31800.0
1981,California,West,62,male,Black nonhisp,"Married, spouse present",,,510,838,52,40,25000.0
1981,Mississippi,South,52,male,White nonhisp,"Married, spouse present",,,522,838,52,40,12480.0
1981,Louisiana,South,35,male,White nonhisp,Divorced,,,282,557,52,40,13500.0
1981,Wyoming,West,38,male,White nonhisp,"Married, spouse present",,,441,377,52,40,29500.0
1981,Alabama,South,36,male,White nonhisp,"Married, spouse present",,,486,139,52,40,14500.0
1981,New Jersey,Northeast,38,male,White nonhisp,"Married, spouse present",,,222,68,52,40,24000.0
1981,Nevada,West,50,male,Hispanic,Divorced,,,915,777,50,40,6000.0
1981,Maryland,South,39,male,Black nonhisp,"Married, spouse present",,,222,937,52,40,10500.0
1981,Michigan,Midwest,39,male,White nonhisp,"Married, spouse present",,,144,857,52,40,26000.0
1981,Missouri,Midwest,46,male,White nonhisp,"Married, spouse present",,,222,937,52,55,20385.0
1981,Iowa,Midwest,43,male,White nonhisp,"Married, spouse present",,,441,187,52,40,24996.0
1981,Pennsylvania,Northeast,39,male,White nonhisp,"Married, spouse present",,,473,639,52,52,20000.0
1981,Mississippi,South,37,male,White nonhisp,"Married, spouse present",,,245,67,52,40,2000.0
1981,Alabama,South,48,male,White nonhisp,"Married, spouse present",,,12,888,52,60,34000.0
1981,Georgia,South,45,male,White nonhisp,"Married, spouse present",,,915,669,52,50,15000.0
1981,Oregon,West,58,male,White nonhisp,"Married, spouse present",,,662,108,47,40,14127.0
1981,Illinois,Midwest,49,male,White nonhisp,"Married, spouse present",,,240,857,52,60,31000.0
1981,Texas,South,32,male,Hispanic,"Married, spouse present",,,473,639,52,40,24000.0
1981,New Jersey,Northeast,30,male,White nonhisp,Never mar,,,184,339,52,40,15000.0
1981,Washington,West,58,male,White nonhisp,"Married, spouse present",,,12,227,52,40,43000.0
1981,California,West,48,male,White nonhisp,Divorced,,,481,917,52,40,30500.0
1981,California,West,43,male,White nonhisp,"Married, spouse present",,,415,67,41,40,19000.0
1981,Missouri,Midwest,54,male,Black nonhisp,Divorced,,,410,69,32,40,20000.0
1981,Montana,West,32,male,White nonhisp,"Married, spouse present",,,144,857,52,45,15600.0
1981,Mississippi,South,29,male,Black nonhisp,"Married, spouse present",,,135,858,52,40,15300.0
1981,Oregon,West,34,male,White nonhisp,"Married, spouse present",,,965,937,52,40,20000.0
1981,Colorado,West,31,male,White nonhisp,"Married, spouse present",,,475,539,52,56,22000.0
1981,Florida,South,41,male,Black nonhisp,"Married, spouse present",,,751,67,52,40,16000.0
1981,Tennessee,South,45,male,White nonhisp,"Married, spouse present",,,381,228,52,40,12000.0
1981,Montana,West,43,male,White nonhisp,"Married, spouse present",,,822,17,46,48,6500.0
1981,Oklahoma,South,45,male,White nonhisp,"Married, spouse present",,,11,888,52,50,24000.0
1981,Pennsylvania,Northeast,38,male,White nonhisp,"Married, spouse present",,,222,917,52,40,18000.0
1981,Washington,West,40,male,White nonhisp,"Married, spouse present",,,315,527,52,40,37000.0
1981,Delaware,South,43,male,Black nonhisp,"Married, spouse present",,,964,937,52,40,31600.0
1981,Minnesota,Midwest,62,male,White nonhisp,"Married, spouse present",,,631,627,52,40,10500.0
1981,Texas,South,57,male,White nonhisp,Widowed,,,552,448,52,40,19000.0
1981,Illinois,Midwest,29,male,Hispanic,"Married, spouse present",,,630,779,50,50,13000.0
1981,South Carolina,South,44,male,White nonhisp,"Married, spouse present",,,546,138,52,40,12000.0
1981,Florida,South,50,male,Hispanic,"Married, spouse present",,,903,628,52,40,9000.0
1981,Texas,South,30,male,White nonhisp,"Married, spouse present",,,705,289,52,40,15000.0
1981,North Carolina,South,31,male,White nonhisp,"Married, spouse present",,,23,328,52,40,31000.0
